iter	MultiClass
852	0.2899029238
853	0.2898745364
854	0.2897922851
855	0.2897025496
856	0.2896692596
857	0.2896578698
858	0.289630927
859	0.2896107207
860	0.2895607833
861	0.2895338559
862	0.28948216
863	0.2894372003
864	0.289388337
865	0.2893505479
866	0.2893111242
867	0.2892149294
868	0.2891864654
869	0.2891287147
870	0.2890722227
871	0.2890450483
872	0.2889706524
873	0.2889511827
874	0.2889385597
875	0.2889122034
876	0.2888365291
877	0.2887856222
878	0.2887382258
879	0.2885848223
880	0.2885687036
881	0.2885277957
882	0.2885024015
883	0.2884864095
884	0.28844647
885	0.2884149102
886	0.2884022321
887	0.2883318758
888	0.2882547722
889	0.2881605393
890	0.2880765977
891	0.2879999556
892	0.2879753063
893	0.2879222715
894	0.2879081842
895	0.2877700641
896	0.2876631808
897	0.2876341357
898	0.2875603611
899	0.2875067927
900	0.2874795272
901	0.2873657041
902	0.2873477244
903	0.2873200807
904	0.2872252938
905	0.2871720434
906	0.2870068209
907	0.2869526538
908	0.2869342597
909	0.2869119909
910	0.2868441532
911	0.2867837857
912	0.2865954002
913	0.2864549843
914	0.2864081241
915	0.2863667608
916	0.2863393795
917	0.286314194
918	0.286261017
919	0.286208976
920	0.2861972512
921	0.286162011
922	0.2861296337
923	0.2860798312
924	0.286056455
925	0.2860464321
926	0.2859192318
927	0.2858834616
928	0.2857852702
929	0.2856934684
930	0.285665291
931	0.2855315851
932	0.2854560515
933	0.2853967361
934	0.2853332769
935	0.2853125713
936	0.285238314
937	0.2852195789
938	0.2852044509
939	0.2851672079
940	0.2851050233
941	0.2850798408
942	0.2849188248
943	0.2848873631
944	0.284871845
945	0.2848306195
946	0.2847809384
947	0.2847536041
948	0.2847387889
949	0.2847188683
950	0.2846790167
951	0.284659717
952	0.2846107255
953	0.2845867784
954	0.2845058097
955	0.2844895126
956	0.2844674009
957	0.2844491603
958	0.2844031028
959	0.2843826508
960	0.2842229231
961	0.2842057369
962	0.2841791038
963	0.2840950813
964	0.283920766
965	0.2838981997
966	0.2838736529
967	0.2838307636
968	0.2838047829
969	0.2837457895
970	0.2837217793
971	0.2836035639
972	0.2835651283
973	0.2835514647
974	0.2834869592
975	0.2834667944
976	0.2834450873
977	0.2833037398
978	0.2832939054
979	0.2832405597
980	0.2831714822
981	0.2830890813
982	0.2830740356
983	0.2830335868
984	0.2829334165
985	0.2828747465
986	0.2828471014
987	0.2828263389
988	0.2826647706
989	0.2826223399
990	0.2825885321
991	0.2824827073
992	0.2824566534
993	0.2824268915
994	0.2823107531
995	0.2822370854
996	0.2822181681
997	0.2821648892
998	0.2820186085
999	0.2819210805
